<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
1996.10.06	1.56420	1.57810	1.56020	1.57600	5595	0	50
1996.10.13	1.57860	1.59420	1.57690	1.58900	7055	0	50
1996.10.20	1.59060	1.61000	1.58800	1.60450	9395	0	50
1996.10.27	1.60300	1.64420	1.60170	1.63650	11735	0	50
1996.11.03	1.63650	1.65730	1.63180	1.64950	11705	0	50
1996.11.10	1.64820	1.67050	1.64100	1.66420	11335	0	50
1996.11.17	1.66320	1.69200	1.66100	1.68050	9275	0	50
1996.11.24	1.68160	1.68540	1.66460	1.68230	9625	0	50
1996.12.01	1.68270	1.68820	1.60950	1.64730	21515	0	50
1996.12.08	1.64350	1.66400	1.64010	1.65570	10905	0	50
1996.12.15	1.65420	1.67630	1.65230	1.67230	10435	0	50
1996.12.22	1.67000	1.69550	1.66740	1.69250	8195	0	50
1996.12.29	1.69220	1.71730	1.68280	1.68780	12634	0	50
1997.01.05	1.68720	1.70280	1.67400	1.68050	12705	0	50
1997.01.12	1.67590	1.68560	1.66460	1.66900	12425	0	50
1997.01.19	1.66770	1.67120	1.61800	1.62980	15405	0	50
1997.01.26	1.62680	1.63150	1.59450	1.60220	16655	0	50
1997.02.02	1.59750	1.64750	1.59690	1.62850	13895	0	50
1997.02.09	1.63260	1.64610	1.61500	1.62350	13425	0	50
1997.02.16	1.61930	1.62350	1.59800	1.61780	12575	0	50
1997.02.23	1.61950	1.64320	1.61600	1.62920	11615	0	50
1997.03.02	1.62770	1.63100	1.59700	1.60350	10795	0	50
1997.03.09	1.60160	1.61000	1.58790	1.60250	12055	0	50
1997.03.16	1.60220	1.60670	1.58490	1.60490	10185	0	50
1997.03.23	1.60290	1.63500	1.60090	1.63110	8615	0	50
1997.03.30	1.62870	1.65600	1.62850	1.63490	11235	0	50
1997.04.06	1.63300	1.63600	1.61670	1.62430	10155	0	50
1997.04.13	1.62800	1.63570	1.61790	1.63400	8645	0	50
1997.04.20	1.63220	1.64040	1.61540	1.62380	9645	0	50
1997.04.27	1.62530	1.63460	1.60000	1.62300	12445	0	50
1997.05.04	1.62300	1.64200	1.60850	1.62350	17245	0	50
1997.05.11	1.62200	1.64980	1.61470	1.63700	11845	0	50
1997.05.18	1.63570	1.66080	1.62220	1.63590	12495	0	50
1997.05.25	1.63750	1.64550	1.62650	1.64150	9185	0	50
1997.06.01	1.64080	1.64380	1.61880	1.63290	12205	0	50
1997.06.08	1.63170	1.64420	1.62500	1.63490	9525	0	50
1997.06.15	1.63450	1.65850	1.63200	1.65720	7615	0	50
